EPERNAY - MONT ST PIERRE (HIGH)    53.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Epernay
    0.0 km   Beginn der Fahrt; Fahrt zur Brücke
    0.2 km   Links abbiegen und Brücke überqueren
    0.3 km   Links abbiegen (follow 1.5 km)
    1.8 km   Scharf rechts
    2.1 km   Links abbiegen
    2.2 km   Vor der Brücke links abbiegen (follow 1.4 km)
    3.6 km   Rechts abbiegen; Brücke überqueren; dann links abbiegen
    4.3 km   Links abbiegen
    4.6 km   Halten Sie sich links auf dem Radweg entlang des Flusses
    5.2 km   Geradeaus weiterfahren
    5.5 km   Schräg links (follow 4.0 km)
  ★ 9.5 km  [bar] bar at river
    9.6 km   Rechts abbiegen
    9.6 km   Scharf links
    9.7 km   Scharf rechts
    9.9 km   Schräg links
   10.0 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2
   10.3 km   Links abbiegen (follow 2.8 km)
  ★ 11.8 km  [note] steep hill
  ★ 12.0 km  [note] panorama
   13.0 km   Geradeaus weiterfahren
   13.4 km   Schräg rechts
   13.7 km   Schräg rechts
   14.1 km   Schräg links
   14.3 km   Rechts abbiegen (follow 2.7 km)
   17.0 km   Schräg links
   17.1 km   Schräg links
   17.5 km   Schräg rechts
   17.7 km   Geradeaus weiterfahren
   17.9 km   Schräg rechts
   18.0 km   Links abbiegen
   18.1 km   Schräg links
   18.4 km   Rechts abbiegen (follow 1.6 km)
   19.9 km   Am Kreisverkehr nehmen Sie die Ausfahrt 3
   20.7 km   Schräg links
   21.0 km   Links abbiegen
   21.0 km   Schräg rechts
   21.1 km   Scharf links
   21.1 km   Links abbiegen
   21.2 km   Rechts abbiegen
  ★ 21.2 km  [note] View point + statue Urbanus
   21.3 km   Links abbiegen
   21.4 km   Rechts abbiegen
   21.5 km   Schräg links
  ★ 21.5 km  [bar] Bars Châtillon sur Marne
   21.6 km   Schräg rechts
   21.8 km   Geradeaus weiterfahren
   21.8 km   At roundabout, take exit 3 onto Rue de la Fontinette
   22.3 km   Links abbiegen
   22.4 km   Schräg rechts
   23.2 km   Rechts abbiegen
   23.6 km   Scharf rechts
   23.7 km   Links abbiegen
   23.8 km   Leicht rechts abbiegen; Fluss zu Ihrer Linken (follow 2.6 km)
   26.4 km   Links abbiegen
   26.8 km   Schräg links (follow 6.5 km)
  ★ 26.8 km  [winery] Champagne Nowack
  ★ 31.5 km  [bar] Bar Verneuil
   33.3 km   Rechts abbiegen
   33.6 km   Links abbiegen
  ★ 33.7 km  [rest_stop] picknick spot
  ★ 33.9 km  [bar] bar Vincelles
  ★ 34.1 km  [winery] Champagne Piot
   34.5 km   Links abbiegen (follow 1.3 km)
   35.8 km   Links abbiegen; Brücke überqueren
   36.2 km   Am Kreisverkehr nehmen Sie die Ausfahrt 3 auf die Rue Gambetta
  ★ 36.2 km  [bar] bar
   36.4 km   Rechts abbiegen
   36.5 km   Geradeaus weiterfahren
   36.5 km   Rechts abbiegen
   36.5 km   Schräg links
   36.6 km   Schräg rechts
   36.8 km   Schräg links
   36.9 km   Schräg rechts
  ★ 36.9 km  [note] memorial Dormans
   37.0 km   Schräg links
   37.3 km   Links abbiegen
   37.3 km   Geradeaus weiterfahren
   37.4 km   Links abbiegen
  ★ 37.5 km  [stop] barge Dormans
   37.6 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 und überqueren die Brücke. (follow 2.3 km)
   39.9 km   Schräg rechts
   40.2 km   Links abbiegen (follow 8.1 km)
   48.3 km   Links abbiegen (follow 3.9 km)
   52.2 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Rue Léon Lhermitte (follow 1.4 km)
   53.6 km   Scharf links
  ★ 53.6 km  [dock/stay] barge Château-Thierry
  ★ 53.6 km  [convenience_store] Supermarket
   53.7 km   Links abbiegen
   53.7 km   Ende der Radtour
  ★ 53.8 km  [start] locks Mont Saint-Père
