TRIER - PAMPLONA    1647.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Trier Zurlauben
    0.3 km   Sla linksaf
    0.7 km   Houd rechts aan (follow 9.7 km)
  ★ 1.2 km  [bike_parking] Bike parking Trier at Porta Nigra
  ★ 1.9 km  [caution] stay on pavement! one way street
  ★ 2.1 km  [caution] through bike Tunnel and walk on pavement
   10.5 km   Blijf op Am Moselufer
   10.6 km   Ga rechtsaf
   11.0 km   Ga rechtsaf
   11.1 km   Rechtsaf (follow 2.5 km)
  ★ 13.4 km  [monument] Roman Column
   13.6 km   Sla rechtsaf naar Bahnhofstraße
   13.7 km   Sla linksaf naar Moselstraße
   13.7 km   Sla rechtsaf
   13.9 km   Houd links aan (follow 2.7 km)
   16.5 km   Rechtsaf
   16.6 km   Linksaf
   17.0 km   Houd rechts aan
   17.1 km   Houd links aan
   17.3 km   Rechtsaf
  ★ 17.3 km  [note] Mosaic of Luxemburg
   17.4 km   Houd rechts aan
   17.4 km   Rechtsaf naar Esplanade de la Moselle, CR 134
   17.5 km   Linksaf
  ★ 17.5 km  [bar] cafe
   17.5 km   Linksaf
  ★ 17.5 km  [ferry] ferry
   17.7 km   Linksaf naar Moselstraße
  ★ 17.7 km  [bar] cafe
   18.1 km   Houd links aan
   19.0 km   Rechtsaf
   19.0 km   Linksaf
   19.8 km   Linksaf (follow 3.6 km)
   23.3 km   Ga rechtdoor (follow 3.1 km)
  ★ 25.6 km  [note] Kanzem Philosophical graveyard
   26.4 km   Linksaf (follow 2.3 km)
   28.7 km   Houd links aan
   29.4 km   Houd rechts aan
   29.7 km   Houd links aan
   30.4 km   Houd links aan
   30.6 km   Houd links aan
   30.8 km   Houd links aan
   31.2 km   Linksaf
   31.2 km   Houd links aan (follow 1.8 km)
   33.0 km   Houd rechts aan
  ★ 33.4 km  [dock/stay] Mooring Saarburg (2)
   33.6 km   Houd links aan (follow 1.2 km)
  ★ 34.8 km  [dock/stay] Mooring Saarburg (1)
   34.8 km   Turn slight left onto Staden
   34.9 km   Turn sharp right onto L 132
   35.0 km   At roundabout, take exit 2 onto Graf-Siegfried-Straße
   35.4 km   At roundabout, take exit 2 onto Graf-Siegfried-Straße
   35.5 km   Turn left onto Heckingstraße
   35.9 km   Turn right onto Heckingstraße
   36.7 km   Continue onto Graf-Siegfried-Straße
   37.1 km   Turn right (follow 1.8 km)
   38.9 km   Turn right onto Saarburger Straße
   38.9 km   Turn left onto Brückenstraße
   39.0 km   Turn right onto Kirchstraße
   39.8 km   Turn left onto Saarburger Straße
