HAUDIVAL - PÉRONNE (VIA HAM)    56.8 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start der Radtour
    0.5 km   Rechts abbiegen; Brücke überqueren
    0.9 km   Schräg links (follow 4.2 km)
    5.2 km   Geradeaus weiterfahren auf Rue de Saint-Medard
    5.4 km   Links abbiegen (follow 2.9 km)
    8.4 km   Links abbiegen (follow 3.2 km)
   11.6 km   Schräg rechts auf Rue du Cauquis
   11.9 km   Schräg links auf Rue du Cauquis
   12.2 km   Schräg rechts auf Rue Saint-Eloi (follow 3.3 km)
   15.5 km   Rechts abbiegen auf Grande Rue (follow 1.7 km)
   17.2 km   Rechts abbiegen
   17.6 km   Schräg links auf D 186 (follow 3.9 km)
   21.5 km   Rechtsaf naar Rue de Paris, D 932
   21.8 km   Linksaf naar Chemin de la Justice
   22.1 km   Keer om naar Chemin de la Justice
  ★ 22.1 km  [monument] Britisch-deutscher Soldatenfriedhof
   22.4 km   Rechtsaf naar Rue de Paris, D 932
   23.0 km   Neem afslag 2 naar D 930 op de rotonde
   23.6 km   Linksaf naar Rue du Général Foy, D 930
  ★ 23.8 km  [coffee] Café du Commerce
  ★ 24.0 km  [note] Church / Crypt Ham
   24.1 km   Rechtsaf naar Boulevard de la République
  ★ 24.2 km  [rest_stop] Ham Picknick
   24.7 km   Rechtsaf naar Boulevard de la République
   25.0 km   Linksaf naar Rue du Général Leclerc, D 937
   25.0 km   Blijf op Rue André Audinot
   25.1 km   Houd rechts aan naar Rue André Audinot
   25.3 km   Linksaf naar Rue de Noyon, D 930
   25.7 km   2. Ausfahrt im Kreisverkehr
   26.0 km   Eisenbahn überqueren; dan rechts abbiegen
   26.0 km   Schräg rechts (follow 1.3 km)
   27.3 km   Links abbiegen
   27.5 km   Rechts abbiegen
   28.4 km   Rechts abbiegen
   29.0 km   Links abbiegen (follow 1.1 km)
   30.1 km   Rechts abbiegen (follow 3.8 km)
   34.0 km   Geradeaus weiterfahren
  ★ 34.7 km  [coffee] Café Voyennes
   34.8 km   Rechts abbiegen auf Rue de Nesle
   35.5 km   Links abbiegen (follow 2.8 km)
   38.3 km   Scharf links
   39.2 km   Scharf links
   39.3 km   Links abbiegen; Wasser zur rechten Seite (follow 2.8 km)
  ★ 39.7 km  [monument] Deutscher Soldatenfriedhof
   42.0 km   Auf Radweg entlang Kanal weiterfahren (follow 5.1 km)
   47.1 km   Links abbiegen
   47.1 km   Rechts abbiegen; Brücke überqueren
   47.4 km   Links abbiegen
  ★ 47.9 km  [bar] Cafe / Forellenfarm
   48.4 km   Schräg links (follow 1.8 km)
   50.2 km   Links abbiegen (follow 1.0 km)
   51.3 km   Scharf rechts
   51.4 km   Links abbiegen (follow 1.7 km)
   53.1 km   Rechts abbiegen auf Grande Rue
   53.6 km   Links abbiegen (follow 3.2 km)
   56.8 km   Ende der Radtour
  ★ 56.8 km  [dock/stay] Mooring Péronne — Mooring Péronne
